문제명,출처,레벨,완료한사람,정답률,url
행렬의 곱셈,연습문제,Lv. 2,"26,970명",68%,https://school.programmers.co.kr/learn/courses/30/lessons/12949
핸드폰 번호 가리기,연습문제,Lv. 1,"73,330명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/12948
하샤드 수,연습문제,Lv. 1,"71,497명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12947
하노이의 탑,연습문제,Lv. 2,"13,257명",48%,https://school.programmers.co.kr/learn/courses/30/lessons/12946
피보나치 수,연습문제,Lv. 2,"47,501명",75%,https://school.programmers.co.kr/learn/courses/30/lessons/12945
평균 구하기,연습문제,Lv. 1,"92,906명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12944
콜라츠 추측,연습문제,Lv. 1,"66,660명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/12943
최적의 행렬 곱셈,연습문제,Lv. 3,"1,838명",29%,https://school.programmers.co.kr/learn/courses/30/lessons/12942
최솟값 만들기,연습문제,Lv. 2,"47,831명",80%,https://school.programmers.co.kr/learn/courses/30/lessons/12941
최대공약수와 최소공배수,연습문제,Lv. 1,"50,883명",79%,https://school.programmers.co.kr/learn/courses/30/lessons/12940
최댓값과 최솟값,연습문제,Lv. 2,"60,070명",80%,https://school.programmers.co.kr/learn/courses/30/lessons/12939
최고의 집합,연습문제,Lv. 3,"14,945명",58%,https://school.programmers.co.kr/learn/courses/30/lessons/12938
짝수와 홀수,연습문제,Lv. 1,"95,016명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12937
줄 서는 방법,연습문제,Lv. 2,"8,598명",50%,https://school.programmers.co.kr/learn/courses/30/lessons/12936
제일 작은 수 제거하기,연습문제,Lv. 1,"61,823명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/12935
정수 제곱근 판별,연습문제,Lv. 1,"67,803명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12934
정수 내림차순으로 배치하기,연습문제,Lv. 1,"65,581명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12933
자연수 뒤집어 배열로 만들기,연습문제,Lv. 1,"74,831명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12932
자릿수 더하기,연습문제,Lv. 1,"83,353명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12931
이상한 문자 만들기,연습문제,Lv. 1,"54,154명",77%,https://school.programmers.co.kr/learn/courses/30/lessons/12930
올바른 괄호의 갯수,연습문제,Lv. 4,"3,718명",35%,https://school.programmers.co.kr/learn/courses/30/lessons/12929
약수의 합,연습문제,Lv. 1,"87,963명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12928
야근 지수,연습문제,Lv. 3,"15,798명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/12927
시저 암호,연습문제,Lv. 1,"48,573명",74%,https://school.programmers.co.kr/learn/courses/30/lessons/12926
문자열을 정수로 바꾸기,연습문제,Lv. 1,"84,191명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12925
숫자의 표현,연습문제,Lv. 2,"37,576명",77%,https://school.programmers.co.kr/learn/courses/30/lessons/12924
숫자 블록,연습문제,Lv. 2,"4,286명",40%,https://school.programmers.co.kr/learn/courses/30/lessons/12923
수박수박수박수박수박수?,연습문제,Lv. 1,"74,937명",85%,https://school.programmers.co.kr/learn/courses/30/lessons/12922
소수 찾기,연습문제,Lv. 1,"39,188명",64%,https://school.programmers.co.kr/learn/courses/30/lessons/12921
선입 선출 스케줄링,연습문제,Lv. 3,"2,121명",30%,https://school.programmers.co.kr/learn/courses/30/lessons/12920
서울에서 김서방 찾기,연습문제,Lv. 1,"75,273명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/12919
문자열 다루기 기본,연습문제,Lv. 1,"67,402명",82%,https://school.programmers.co.kr/learn/courses/30/lessons/12918
문자열 내림차순으로 배치하기,연습문제,Lv. 1,"62,095명",84%,https://school.programmers.co.kr/learn/courses/30/lessons/12917
문자열 내 p와 y의 개수,연습문제,Lv. 1,"73,980명",87%,https://school.programmers.co.kr/learn/courses/30/lessons/12916
문자열 내 마음대로 정렬하기,연습문제,Lv. 1,"49,219명",73%,https://school.programmers.co.kr/learn/courses/30/lessons/12915
멀리 뛰기,연습문제,Lv. 2,"28,796명",72%,https://school.programmers.co.kr/learn/courses/30/lessons/12914
땅따먹기,연습문제,Lv. 2,"19,538명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/12913
두 정수 사이의 합,연습문제,Lv. 1,"82,193명",88%,https://school.programmers.co.kr/learn/courses/30/lessons/12912
다음 큰 숫자,연습문제,Lv. 2,"37,401명",75%,https://school.programmers.co.kr/learn/courses/30/lessons/12911
나누어 떨어지는 숫자 배열,연습문제,Lv. 1,"69,544명",86%,https://school.programmers.co.kr/learn/courses/30/lessons/12910
올바른 괄호,스택/큐,Lv. 2,"74,834명",80%,https://school.programmers.co.kr/learn/courses/30/lessons/12909
거스름돈,연습문제,Lv. 3,"7,115명",46%,https://school.programmers.co.kr/learn/courses/30/lessons/12907
같은 숫자는 싫어,스택/큐,Lv. 1,"90,907명",79%,https://school.programmers.co.kr/learn/courses/30/lessons/12906
가장 큰 정사각형 찾기,연습문제,Lv. 2,"12,138명",48%,https://school.programmers.co.kr/learn/courses/30/lessons/12905
가장 긴 팰린드롬,연습문제,Lv. 3,"9,784명",46%,https://school.programmers.co.kr/learn/courses/30/lessons/12904
가운데 글자 가져오기,연습문제,Lv. 1,"79,225명",85%,https://school.programmers.co.kr/learn/courses/30/lessons/12903
3 x n 타일링,연습문제,Lv. 2,"5,784명",29%,https://school.programmers.co.kr/learn/courses/30/lessons/12902
2016년,연습문제,Lv. 1,"55,190명",67%,https://school.programmers.co.kr/learn/courses/30/lessons/12901
2 x n 타일링,연습문제,Lv. 2,"17,189명",59%,https://school.programmers.co.kr/learn/courses/30/lessons/12900
124 나라의 숫자,연습문제,Lv. 2,"27,532명",52%,https://school.programmers.co.kr/learn/courses/30/lessons/12899
폰켓몬,해시,Lv. 1,"73,417명",69%,https://school.programmers.co.kr/learn/courses/30/lessons/1845
게임 맵 최단거리,깊이/너비 우선 탐색(DFS/BFS),Lv. 2,"43,898명",66%,https://school.programmers.co.kr/learn/courses/30/lessons/1844
사칙연산,동적계획법(Dynamic Programming),Lv. 4,"3,899명",20%,https://school.programmers.co.kr/learn/courses/30/lessons/1843
네오의 귀걸이,2017 카카오코드 본선,Lv. 5,62명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/1842
IU와 콘의 보드게임,2017 카카오코드 본선,Lv. 5,42명,0%,https://school.programmers.co.kr/learn/courses/30/lessons/1841
스마트한 프로도,2017 카카오코드 본선,Lv. 5,74명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/1840
튜브의 소개팅,2017 카카오코드 본선,Lv. 4,297명,8%,https://school.programmers.co.kr/learn/courses/30/lessons/1839
몸짱 트레이너 라이언의 고민,2017 카카오코드 본선,Lv. 3,376명,10%,https://school.programmers.co.kr/learn/courses/30/lessons/1838
GPS,2017 카카오코드 본선,Lv. 3,872명,16%,https://school.programmers.co.kr/learn/courses/30/lessons/1837
리틀 프렌즈 사천성,2017 카카오코드 본선,Lv. 3,"1,008명",17%,https://school.programmers.co.kr/learn/courses/30/lessons/1836
단체사진 찍기,2017 카카오코드 본선,Lv. 2,"5,252명",25%,https://school.programmers.co.kr/learn/courses/30/lessons/1835
신비로운 유적 탐험,2017 카카오코드 예선,Lv. 5,123명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/1834
캠핑,2017 카카오코드 예선,Lv. 3,752명,19%,https://school.programmers.co.kr/learn/courses/30/lessons/1833
보행자 천국,2017 카카오코드 예선,Lv. 3,"2,799명",37%,https://school.programmers.co.kr/learn/courses/30/lessons/1832
4단 고음,2017 카카오코드 예선,Lv. 4,927명,11%,https://school.programmers.co.kr/learn/courses/30/lessons/1831
브라이언의 고민,2017 카카오코드 예선,Lv. 3,534명,3%,https://school.programmers.co.kr/learn/courses/30/lessons/1830
카카오프렌즈 컬러링북,2017 카카오코드 예선,Lv. 2,"9,374명",30%,https://school.programmers.co.kr/learn/courses/30/lessons/1829
